User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Steps_Count,Sleep_Duration,Water_Intake,Exercise_Type
U00040,Female,24,172,101,109,154,37,17060,5.4,2,Gym
U00041,Female,49,164,91,67,152,37.7,9151,4.1,3,Swimming
U00042,Male,18,159,118,49,63,36.4,16474,6.5,3.9,Gym
U00043,Male,34,169,67,25,152,36.1,12747,6.1,3.5,Running
U00044,Male,39,153,116,78,66,37.7,19281,5.5,2.5,Running
U00045,Female,27,180,54,112,165,38.5,2461,8.5,3.5,Cycling
U00046,Female,32,178,88,104,130,38.7,15987,6.6,2.6,Gym
U00047,Male,57,154,87,90,157,38.7,12389,5.8,1.1,Cycling
U00048,Male,34,159,100,99,87,36.4,19196,7.8,3.2,Cycling
U00049,Male,62,178,56,94,91,37.1,19074,5.1,2.1,Swimming
U00050,Female,35,184,50,91,128,38.1,13649,7.1,1.2,Gym
U00051,Female,43,176,61,97,113,37.9,6239,9.6,2.5,Swimming
U00052,Female,61,165,74,113,129,38.4,19932,7,3.8,Gym
U00053,Female,58,165,115,43,165,36.7,13078,4.7,2.5,Walking
U00054,Female,41,184,79,52,165,37.9,14026,7.3,1.4,Gym
U00055,Female,18,177,56,100,62,39,3888,9.9,3.8,Gym
U00056,Male,40,174,116,110,121,36.9,6581,6.5,3.5,Running
U00057,Female,40,196,113,96,129,38.9,10187,5.1,1.4,Swimming
U00058,Female,44,191,90,98,103,36.6,12904,5,3.7,Cycling
U00059,Male,23,186,72,113,103,37.8,2843,8.4,1.5,Cycling
U00060,Male,31,191,100,100,106,38.9,10857,7.1,2.4,Gym
U00061,Male,23,168,69,60,118,38.8,15366,4.2,3.6,Swimming
U00062,Female,51,175,84,28,72,36.4,7037,5.3,3.5,Running
U00063,Male,50,198,78,62,148,37.6,15890,6.7,2.5,Running
U00064,Female,21,196,114,100,74,36.7,10820,6,2.6,Cycling
U00065,Female,34,181,106,19,132,37.6,12707,4.6,1.1,Gym
U00066,Female,45,159,59,43,91,38.9,7995,6.8,3.3,Cycling
U00067,Male,50,151,83,51,70,37.8,6180,5.3,3.9,Running
U00068,Female,48,153,118,102,84,36.2,3600,7.9,1.3,Walking
U00069,Female,49,151,109,67,109,37.5,13516,4.2,2.3,Walking
U00070,Male,24,157,92,110,168,38.1,7786,8.5,2,Running
U00071,Female,52,157,85,51,99,36.3,8834,5.8,2.4,Cycling
U00072,Female,26,156,64,64,63,38.7,7522,4.9,2.5,Cycling
U00073,Male,51,167,113,76,73,36.8,11508,6.2,2.4,Gym
U00074,Female,58,155,108,47,113,38.3,16176,6.2,1.3,Cycling
U00075,Male,54,173,88,78,100,38.1,2287,9.7,3.2,Swimming
U00076,Male,39,158,91,58,85,36.2,2852,5.5,2.4,Walking
U00077,Male,55,164,64,86,168,37.3,16234,4,2.5,Cycling
U00078,Female,62,176,106,64,60,38,13729,8.1,1.2,Running
U00079,Male,38,193,103,86,61,38.8,2678,9.2,1.9,Cycling
U00080,Male,48,159,109,69,129,36.8,2079,5.1,1.1,Swimming
U00081,Male,59,196,119,55,82,37.7,6693,7.9,3.8,Walking
U00082,Female,47,199,64,63,60,36.5,19692,9.1,2.7,Walking
U00083,Female,63,170,97,11,135,37.4,17621,5.3,3.8,Cycling
U00084,Male,28,184,113,88,67,36.4,15165,9.3,3.4,Cycling
U00085,Male,52,197,60,28,110,37,14553,9.4,2.5,Swimming
U00086,Male,46,155,114,29,91,37.8,6734,5.9,3.8,Swimming
U00087,Female,53,186,53,58,147,36.7,5835,6.8,3.5,Walking
U00088,Female,57,158,85,101,75,36.8,17485,4,2.2,Cycling
U00089,Female,22,162,89,17,87,38.4,9943,5.4,3.7,Running
U00090,Male,59,198,111,57,119,38.1,3344,6.2,1.4,Cycling
U00091,Male,41,198,82,55,167,38.3,15548,4.1,2.1,Swimming
U00092,Male,57,150,68,20,70,38.2,17972,5.4,1.7,Cycling
U00093,Female,31,161,83,14,60,36,9235,7.4,2.7,Gym
U00094,Male,58,183,83,86,63,37.5,15011,9.7,1.7,Walking
U00095,Female,49,190,75,53,142,37.4,9217,5.1,2.5,Swimming
U00096,Male,63,177,85,36,150,37.1,2652,6.1,2.1,Cycling
U00097,Male,32,171,71,81,125,38.1,2755,9.8,3.1,Swimming
U00098,Male,54,199,72,100,78,38.9,8382,5.1,1.3,Gym
U00099,Male,52,178,66,10,111,36.5,1452,9.7,3.2,Swimming
U00100,Male,24,189,50,71,62,36.6,6874,4.8,1.8,Cycling
U00101,Male,47,156,94,116,95,38.4,5835,4.4,3.4,Walking
U00102,Female,28,153,82,20,145,38.8,10062,5.4,3,Walking
U00103,Female,40,194,78,72,115,37.4,16917,6.4,2.2,Cycling
U00104,Female,19,184,87,97,92,37.3,16084,6.2,1.9,Running
U00105,Female,22,181,99,48,164,36.4,2976,9.1,2.1,Walking
U00106,Female,52,159,83,46,100,38.2,17846,7.8,3.2,Gym
U00107,Female,31,155,80,22,160,38.4,9897,4.3,1.1,Gym
U00108,Male,62,186,71,81,112,36.3,3244,4.1,3.4,Cycling
U00109,Female,60,154,51,76,137,38.9,1756,8.8,2.6,Swimming
U00110,Male,26,158,89,17,113,37.1,17450,8.4,4,Running
U00111,Male,27,159,84,113,73,38.4,3819,7.3,2.2,Walking
U00112,Male,31,159,98,75,105,37.2,3906,9.5,2.5,Cycling
U00113,Male,40,159,93,18,175,38.4,13701,5.8,3.3,Walking
U00114,Female,35,165,64,48,146,37.5,1781,6.4,2.8,Walking
U00115,Female,34,172,113,16,65,37.6,9485,8.1,1.5,Walking
U00116,Female,31,163,80,103,124,36.2,17689,8.7,3,Cycling
U00117,Female,30,196,78,16,74,38.1,14297,6.9,1.4,Walking
U00118,Male,25,168,73,43,65,36,8298,7.7,1.9,Swimming
U00119,Female,24,187,55,61,153,36.8,13386,8.1,2.2,Swimming
U00120,Male,49,158,50,112,131,37.8,6885,4.4,3.9,Swimming
U00121,Male,18,160,59,29,97,37.6,14741,6.3,2.5,Running
U00122,Male,30,159,72,34,133,38.8,16861,5.9,3.9,Walking
U00123,Female,47,192,56,20,138,37.8,5626,9.2,2.8,Walking
U00124,Male,41,164,113,63,82,38.2,10399,6.6,1.1,Swimming
U00125,Male,56,180,79,30,150,38.3,6340,9.3,2.7,Walking
U00126,Female,62,180,65,90,160,38.1,5603,9.6,1.3,Cycling
U00127,Male,36,190,119,52,146,38.4,2604,6.2,1,Swimming
U00128,Female,54,150,76,17,179,37.6,2726,9.9,2,Cycling
U00129,Male,52,150,109,69,161,38.3,15332,6.3,2.6,Running
U00130,Male,40,187,91,52,147,37.3,5179,4.6,3.6,Running
U00131,Female,48,155,95,81,127,38.2,5234,6,1.9,Swimming
U00132,Male,18,158,80,116,179,38.8,18050,4.7,1.1,Running
U00133,Male,25,174,82,106,80,37.8,16276,5.9,2.6,Running
U00134,Female,23,175,62,67,83,36.7,11708,4.7,3.5,Running
U00135,Female,28,156,50,36,174,38.4,17023,7.5,3.3,Swimming
U00136,Male,63,189,73,11,98,38,4836,4.1,1.1,Swimming
U00137,Female,49,168,112,78,95,37.4,12475,6.7,1.3,Gym
U00138,Female,30,194,72,53,140,36.5,15391,7.7,2,Gym
U00139,Female,47,183,55,71,74,37.6,3201,5.4,2.3,Cycling
U00140,Male,53,157,96,94,179,38.5,10108,5.3,2.8,Running
U00141,Male,39,182,116,11,128,36.7,17501,4,1.3,Walking
U00142,Female,40,159,88,116,118,36.9,11889,4.7,2.3,Cycling
U00143,Female,61,177,104,88,71,38.7,16120,6,2.4,Walking
U00144,Female,49,168,69,65,112,38.3,1013,5.8,2,Gym
U00145,Male,58,191,103,27,75,36.8,13920,5.9,3.4,Swimming
U00146,Male,22,197,105,73,125,38.9,6783,6.8,2.5,Cycling
U00147,Male,62,197,65,41,136,38.5,1248,5,3.3,Walking
U00148,Male,40,166,109,48,136,36.3,19937,8.2,3.5,Swimming
U00149,Female,52,176,93,109,146,36.2,12384,4.7,1.6,Gym
U00150,Female,40,198,57,39,131,38.7,11839,7.7,1.3,Gym
U00151,Male,56,164,78,70,92,37.2,3251,6.5,3.8,Swimming
U00152,Male,56,172,113,104,155,38.1,1225,8.8,2.4,Cycling
U00153,Male,47,170,75,15,65,36.2,16920,9.1,1.1,Walking
U00154,Male,32,184,104,115,162,37.5,8752,8.7,3.7,Cycling
U00155,Male,55,158,64,42,69,38.1,19547,7.5,1.6,Running
U00156,Female,41,166,101,57,121,38.7,7959,9.6,3.7,Walking
U00157,Male,36,182,66,109,90,38.4,6692,6.8,2.2,Cycling
U00158,Male,29,170,62,89,112,38.7,14715,5.1,2,Running
U00159,Male,61,190,109,63,96,36.8,2337,4.5,2.6,Gym
U00160,Male,47,163,96,42,116,37.9,16584,6.4,2,Walking
U00161,Male,64,193,74,57,94,38,3266,4.9,4,Walking
U00162,Male,31,185,72,61,159,36.9,1262,7,2.4,Walking
U00163,Female,38,156,67,43,84,38.2,19978,9.5,2.2,Walking
U00164,Female,58,163,67,113,150,38.9,9435,5.8,3.2,Swimming
U00165,Male,54,166,65,83,147,37,3973,5,2.3,Gym
U00166,Male,30,190,77,47,80,38.2,9941,8.6,3.8,Gym
U00167,Male,25,192,77,12,84,37,13760,7.8,3.9,Walking
U00168,Male,38,199,77,18,67,36.3,12157,5,2.5,Running
U00169,Female,53,152,106,98,66,38.7,18800,8.1,3.5,Gym
U00170,Female,26,171,65,113,101,38.9,8570,7,2.3,Walking
U00171,Female,35,186,70,58,144,38.7,14684,6.6,3.8,Swimming
U00172,Male,61,157,98,109,175,37,3163,5.8,1.8,Walking
U00173,Male,43,172,76,51,102,37.2,17732,9.5,1.5,Swimming
U00174,Male,64,198,87,28,60,38.1,13239,8.8,2,Gym
U00175,Female,50,181,99,33,80,36.3,7093,9.1,3.7,Walking
U00176,Male,64,169,81,55,74,36.7,5174,5.3,2.6,Cycling
U00177,Female,48,196,53,31,122,38.6,12950,4.7,2.4,Running
U00178,Female,58,153,99,26,123,37.8,15057,4.8,1.7,Cycling
U00179,Female,47,194,74,35,131,36.9,10135,6.1,4,Gym
U00180,Male,19,195,65,78,175,38.2,4363,9.4,2.4,Swimming
U00181,Male,39,169,68,26,60,38.9,17945,5.2,3.8,Swimming
U00182,Male,56,194,63,49,63,38.3,9041,9.7,3.6,Swimming
U00183,Male,27,166,112,13,104,36.8,10156,9.7,3.2,Running
U00184,Female,22,184,103,40,88,36.3,19304,8.5,1.1,Gym
U00185,Male,51,158,111,102,104,38.6,5024,5.9,3.8,Cycling
U00186,Male,38,153,52,82,76,37.6,3362,6.6,2.9,Walking
U00187,Female,36,181,88,21,172,37.9,14518,4.2,1.2,Running
U00188,Male,30,164,87,60,174,38.9,9150,5.3,4,Swimming
U00189,Female,38,171,110,117,75,38.6,13927,9.4,1.6,Walking
U00190,Male,31,154,108,51,177,37.4,18295,6.6,3.6,Cycling
U00191,Male,51,173,61,79,142,36.1,7332,6,2.5,Walking
U00192,Female,31,180,56,50,153,37.5,11731,9.5,1.6,Walking
U00193,Female,46,195,82,64,144,37.4,17652,8.4,3.3,Gym
U00194,Female,38,184,110,98,82,38.5,17529,4.2,1.8,Cycling
U00195,Male,46,199,83,109,101,39,1881,7,3.8,Running
U00196,Male,61,192,112,25,110,37.1,10774,8.5,3,Walking
U00197,Female,38,187,60,41,147,38.8,14312,5.6,3.7,Swimming
U00198,Female,43,152,65,36,117,37.5,17527,4.1,3.9,Cycling
U00199,Female,21,195,92,42,61,36.9,17300,9.7,3.6,Running
U00200,Female,56,179,81,70,92,37.6,14364,9.2,1.1,Swimming
U00201,Male,44,188,91,26,164,38.9,11181,6.4,2.2,Running
U00202,Female,36,170,85,44,122,37.5,13917,8.3,3.2,Running
U00203,Male,19,167,118,52,68,36.3,5596,5.8,2.3,Running
U00204,Male,32,167,101,73,63,38.6,10901,9.1,1.6,Cycling
U00205,Male,59,161,75,56,73,37.9,16686,9.9,2.2,Swimming
U00206,Female,43,155,118,67,74,38.4,16798,7.6,2.3,Swimming
U00207,Male,54,198,112,69,86,36.2,16335,4.5,3.3,Cycling
U00208,Female,20,163,50,51,66,36.9,5852,6.2,4,Gym
U00209,Male,51,188,116,54,140,36.4,2201,9.3,1.1,Gym
U00210,Female,58,155,94,99,98,38.1,6477,7,1.4,Cycling
U00211,Female,40,198,90,89,106,38.2,6668,5.4,2.4,Running
U00212,Male,50,191,116,15,158,38.8,7150,6.3,1.7,Running
U00213,Male,18,173,117,36,130,38.4,2257,4.2,2.6,Gym
U00214,Female,18,181,72,39,67,38.7,4236,7.4,1.5,Running
U00215,Male,49,157,70,116,114,37.3,10528,5.1,2.5,Running
U00216,Male,63,174,55,70,109,36,18507,8.9,2.3,Swimming
U00217,Female,44,181,108,48,174,37.4,10090,6.1,1.2,Walking
U00218,Male,45,199,52,61,69,38.8,17644,8.6,2.1,Running
U00219,Male,24,172,77,78,118,36.8,18944,6.5,3.9,Walking
U00220,Female,22,199,59,105,100,38.2,11571,4.9,1.7,Cycling
U00221,Male,37,172,77,37,111,36.2,11996,4.5,1.5,Cycling
U00222,Female,61,175,69,17,63,38,11735,10,2.5,Running
U00223,Female,43,177,89,47,160,38.5,6701,8.8,1.1,Running
U00224,Male,28,154,114,43,131,36.4,5128,6.6,1.5,Cycling
U00225,Male,59,150,51,79,146,36.4,17199,8.9,1.4,Cycling
U00226,Female,22,151,109,115,126,36.8,5650,4.5,2.7,Swimming
U00227,Male,52,177,116,79,169,37,11435,4.4,3.2,Swimming
U00228,Male,36,161,118,28,127,36.1,11119,8.1,4,Running
U00229,Female,26,185,74,74,170,37.4,11163,4.6,1.7,Cycling
U00230,Male,62,170,100,102,65,37,13326,7.4,1.3,Gym
U00231,Female,62,153,86,10,87,37.1,4125,7.6,3.3,Running
U00232,Male,50,171,106,113,89,38.1,16346,7.5,3.1,Walking
U00233,Female,51,154,75,48,156,38.6,17632,6.5,2.1,Swimming
U00234,Male,35,185,104,113,159,36.8,9878,7,4,Walking
U00235,Male,44,187,64,113,100,37.1,10863,8.7,2.2,Gym
U00236,Male,21,159,78,45,132,37.6,4452,4.2,1.6,Gym
U00237,Male,58,162,101,113,173,36,6063,6.6,3.7,Swimming
U00238,Male,25,161,66,73,83,36.7,9867,6.8,2.6,Gym
U00239,Male,34,171,116,116,135,36.1,6952,6.4,2.2,Running
U00240,Male,37,182,66,86,176,37.6,19009,7.6,3,Swimming
U00241,Female,39,172,84,98,121,36.2,13709,5.3,2.6,Cycling
U00242,Female,42,191,53,30,156,37.6,12226,6.2,3,Walking
U00243,Female,59,181,103,14,60,38.4,11715,4.2,1.1,Running
U00244,Male,30,159,98,90,64,37.5,14215,7.6,3.9,Cycling
U00245,Female,60,172,93,50,145,36,10707,4.2,3.1,Cycling
U00246,Female,36,171,70,85,108,38.4,11763,9.5,2.1,Running
U00247,Male,45,152,98,58,102,38.4,8676,5.3,3.2,Swimming
U00248,Female,32,199,109,25,179,37.1,15263,6,2.3,Cycling
U00249,Male,22,185,111,67,91,36.6,11718,5.8,3.4,Walking
U00250,Female,62,171,72,38,109,36.7,9820,4,3.6,Walking
U00251,Male,38,163,64,19,172,38.3,7261,9.4,1.8,Gym
U00252,Female,45,183,114,92,66,38,4127,8.5,1.1,Swimming
U00253,Male,18,166,69,86,137,38,5613,9.9,1.1,Cycling
U00254,Female,42,150,69,70,123,38.7,8084,6.9,1,Walking
U00255,Female,27,184,66,106,88,36.6,17061,7.8,1.2,Swimming
U00256,Female,54,186,91,61,137,37.2,8191,7.3,2.2,Running
U00257,Male,37,151,66,44,133,37.9,7641,7.3,2.8,Running
U00258,Male,42,166,77,25,159,36.1,12275,4.7,2.6,Walking
U00259,Female,32,195,100,99,96,38.7,3892,6.3,1.7,Cycling
U00260,Male,44,185,52,111,77,38.7,18081,6,3,Gym
U00261,Female,36,185,73,35,162,36.5,11448,4,3.5,Walking
U00262,Female,19,175,101,117,178,37.1,3625,8.6,3.3,Walking
U00263,Female,53,199,101,52,116,37.2,1962,6.1,1.1,Gym
U00264,Male,64,189,100,36,125,36.8,9129,9.3,3.7,Swimming
U00265,Male,28,171,93,89,105,37.3,3355,9,1.6,Swimming
U00266,Female,34,190,112,58,105,37.6,2866,5.2,3.5,Running
U00267,Female,47,169,55,31,103,37.7,16017,5.2,3.4,Swimming
U00268,Female,29,176,76,110,142,36.6,8740,4.8,3.8,Cycling
U00269,Male,44,174,76,62,153,38.4,17339,4.5,2,Running
U00270,Male,58,170,71,51,145,37.9,16934,9.1,1.6,Cycling
U00271,Female,44,159,113,23,164,37.7,5030,8.7,1,Gym
U00272,Female,20,163,71,100,174,37.3,19567,7.3,1.8,Cycling
U00273,Male,18,152,93,89,94,36.7,4975,7.5,1.7,Running
U00274,Female,25,182,86,84,130,36.6,11889,4.1,1.2,Cycling
U00275,Female,51,181,85,93,83,37,6119,7.3,2.7,Cycling
U00276,Male,55,192,86,25,95,38.6,3993,5.4,3.5,Swimming
U00277,Female,47,163,82,14,113,36.8,19737,8,4,Running
U00278,Male,51,186,65,117,179,36.7,6005,8.9,4,Gym
U00279,Male,51,196,103,104,80,38.4,13287,9,3,Swimming
U00280,Female,24,156,64,15,136,38.4,10767,8.6,1.3,Cycling
U00281,Male,42,152,55,88,108,36.5,11715,6.2,2.9,Running
U00282,Female,42,183,90,57,127,38.7,14567,6.8,1.9,Running
U00283,Female,63,161,61,78,102,37.6,18176,9.9,1.8,Running
U00284,Female,57,187,70,97,90,36.4,16037,8.9,3.6,Cycling
U00285,Male,40,165,108,70,70,36.2,15748,9.1,2.1,Gym
U00286,Male,35,189,87,56,177,36.6,1530,4.4,1,Gym
U00287,Female,26,176,84,23,70,37.2,18510,4.6,1.3,Cycling
U00288,Male,56,173,50,116,77,38.8,19343,5.9,1.9,Gym
U00289,Female,35,182,113,94,65,36.8,17977,7.6,3.7,Walking
U00290,Female,45,192,56,38,176,37.7,9991,4.7,1,Walking
U00291,Male,36,186,75,59,159,36.4,17242,6.7,3.9,Swimming
U00292,Male,20,159,94,45,134,37.4,15840,9.7,2.5,Gym
U00293,Female,40,181,66,111,179,36.6,7372,6.5,2.8,Swimming
U00294,Male,64,163,66,95,134,37.8,8968,9.7,3.3,Running
U00295,Male,18,171,91,43,129,38.1,4858,8.4,1.8,Swimming
U00296,Female,42,162,114,36,77,36.5,13985,7.1,2.3,Gym
U00297,Male,55,183,112,70,88,38,4547,6.6,1.9,Cycling
U00298,Male,38,194,82,57,71,37.7,5776,6.7,3.7,Cycling
U00299,Male,23,194,106,88,131,37,16989,4.7,2.3,Swimming
U00300,Female,36,198,52,42,123,37.2,11812,7.9,2.6,Walking
U00301,Male,30,187,93,45,100,38,11181,6.5,1.1,Cycling
U00302,Female,28,153,72,114,142,38,19841,6.8,1,Walking
U00303,Male,45,156,97,51,148,36.8,3493,9.9,2.4,Swimming
U00304,Male,34,191,91,90,129,37.4,17912,6.9,2.2,Running
U00305,Female,34,161,59,22,60,37.1,19955,7.8,3.8,Cycling
U00306,Male,19,192,59,47,166,37.6,11215,5.5,2.4,Cycling
U00307,Male,53,188,74,64,118,36.8,8499,6.7,2.5,Swimming
U00308,Male,35,160,92,42,143,38.3,6272,4.3,2.2,Cycling
U00309,Female,31,199,91,17,119,37.9,16887,8.5,3.9,Swimming
U00310,Male,57,173,103,87,177,37.9,3716,5.5,2.8,Gym
U00311,Female,43,154,51,89,63,36.5,17553,4.6,4,Gym
U00312,Male,56,170,92,100,94,36.2,6601,7.2,2.5,Cycling
U00313,Female,19,173,102,71,106,36.3,8785,7.3,2.3,Gym
U00314,Female,62,156,118,111,115,37.2,7428,8.6,1.5,Running
U00315,Female,64,165,111,35,166,37.1,19247,8.3,3.4,Swimming
U00316,Male,53,175,74,75,97,38.3,10917,9.4,1,Cycling
U00317,Male,47,192,65,77,108,38,11197,7.6,2.1,Gym
U00318,Male,48,162,73,81,119,37.2,17382,7.9,2.9,Walking
U00319,Male,18,158,52,115,135,37.8,3367,7.5,2.8,Swimming
U00320,Female,49,198,116,16,140,38.1,17962,6.4,3,Swimming
U00321,Male,19,184,67,10,107,38.1,17087,6.1,3.4,Gym
U00322,Female,29,183,112,63,171,37.3,18759,7.7,1.3,Swimming
U00323,Female,26,176,50,73,145,36.5,1358,7.5,3.4,Walking
U00324,Male,28,182,60,12,117,37.3,4261,4.7,3.5,Running
U00325,Female,26,177,73,61,94,36.1,9093,8.9,3.5,Swimming
U00326,Female,24,196,74,34,115,38.6,9748,5.4,2.4,Walking
U00327,Male,58,196,81,100,79,36.4,4762,4.1,2.9,Cycling
U00328,Male,62,190,92,87,77,38.8,5258,4.7,1.3,Gym
U00329,Female,63,195,112,96,157,36.9,5439,7.6,2.2,Running
U00330,Female,60,159,64,18,163,36.6,12752,4.9,3.6,Gym
U00331,Female,28,151,72,30,93,37.3,7873,6.8,3.6,Cycling
U00332,Male,35,185,100,64,127,37.8,5009,8.2,1.7,Cycling
U00333,Female,35,175,84,94,173,36.5,8847,9.3,2.3,Walking
U00334,Female,63,174,81,108,177,38.8,9098,6.2,3.4,Gym
U00335,Male,60,179,113,46,76,39,10166,7.7,3,Walking
U00336,Male,56,168,93,69,147,37.9,18028,6,3,Cycling
U00337,Male,34,192,66,38,93,36.3,16490,6.5,1.4,Walking
U00338,Female,54,177,119,12,136,36.6,19623,7.3,3.7,Gym
U00339,Female,44,164,109,35,70,37.1,2770,4.8,2,Walking
U00340,Male,42,165,106,92,107,36.6,13360,9.8,2.7,Swimming
U00341,Female,28,188,106,65,136,36.6,8164,6.9,2.1,Walking
U00342,Female,27,195,87,112,158,36.8,15324,7,1.1,Swimming
U00343,Female,28,198,55,91,81,38.4,9995,4.7,2.4,Swimming
U00344,Male,59,189,62,25,179,38.4,1831,8.8,1.9,Running
U00345,Female,31,187,110,24,171,36.7,11514,6,1.5,Gym
U00346,Female,41,167,57,29,89,38.9,17212,6.6,3.1,Cycling
U00347,Female,33,178,90,92,82,38.6,4549,8.5,3.7,Swimming
U00348,Male,20,192,75,118,129,36.4,11538,6.6,3.1,Running
U00349,Male,22,193,72,43,91,36.3,5069,6.2,1.2,Walking
U00350,Female,30,183,90,86,121,37.8,3324,7.9,2.4,Running
U00351,Female,45,191,88,48,72,38.7,18918,9.2,1.7,Walking
U00352,Male,28,195,99,47,156,36.3,15255,8.6,2.5,Gym
U00353,Female,43,197,72,90,115,37.6,3087,4.3,1.4,Swimming
U00354,Female,46,172,76,76,99,38.7,15129,4.7,2.9,Running
U00355,Male,27,160,51,102,93,36.9,16167,4.2,3.1,Cycling
U00356,Female,24,194,105,62,98,36.5,4682,8.1,2.9,Running
U00357,Male,54,159,75,108,101,36.3,4514,7,3.7,Walking
U00358,Male,25,182,72,87,151,37,12980,8.3,3.4,Running
U00359,Female,33,197,111,10,116,38.8,10720,8.7,3.8,Cycling
U00360,Male,25,172,110,31,141,38.4,6895,8.8,3.8,Running
U00361,Male,59,190,77,59,147,38.2,6698,5,1.9,Gym
U00362,Male,58,199,101,100,155,36.7,9950,5.7,1.2,Swimming
U00363,Female,53,196,106,44,178,37.8,12796,9.4,1.1,Swimming
U00364,Female,28,197,104,31,80,37.7,13964,8.3,2.5,Walking
U00365,Female,32,178,58,18,80,37.3,7493,9.8,3.5,Cycling
U00366,Male,51,194,104,62,134,37.1,4054,9.8,2.1,Gym
U00367,Female,20,162,68,32,133,38.9,10153,8,1.6,Gym
U00368,Male,20,183,116,113,64,38.3,8449,7.2,3.3,Running
U00369,Male,32,152,69,108,64,37.6,16864,9.9,1.2,Running
U00370,Female,21,180,88,111,118,38,8309,7.7,2.7,Cycling
U00371,Female,51,168,67,105,162,37.4,15244,6.6,3.4,Cycling
U00372,Female,41,178,51,13,87,36.3,18497,4.8,2.2,Walking
U00373,Female,53,172,81,83,163,37.6,5627,8,2.7,Gym
U00374,Male,25,191,57,56,179,38.5,19953,8.2,1.7,Swimming
U00375,Female,21,190,50,103,110,36.4,19797,6.4,2.6,Cycling
U00376,Female,24,165,59,51,90,37.8,11601,7,3.3,Cycling
U00377,Male,49,173,113,69,85,36.8,1021,8.5,3.8,Swimming
U00378,Male,64,178,98,76,94,38.6,3724,6.5,2.2,Gym
U00379,Male,31,159,66,112,126,36.1,6213,8.4,1.5,Running
U00380,Female,52,196,85,12,84,37.5,7729,9.1,1.8,Cycling
U00381,Female,26,190,77,108,102,36.9,15980,7.8,1.7,Swimming
U00382,Female,47,159,100,37,147,37.3,15553,9.7,2.2,Walking
U00383,Male,29,173,89,15,69,37.5,12304,8.1,1.6,Walking
U00384,Male,39,198,82,91,135,37.2,7171,4.1,3.4,Running
U00385,Male,20,176,110,32,96,38.8,7134,7.5,3.6,Gym
U00386,Female,36,168,117,85,134,36.6,8145,7.5,1.1,Walking
U00387,Female,29,195,95,30,174,37,2326,8.7,2.6,Running
U00388,Male,53,197,77,117,110,37.4,14626,4.1,1.4,Cycling
